ID,Title,Body,Course_Number,Credits,Prefix,Department,,,,,,,,,,
271,Administration of Justice,"This course is intended to introduce students to basic management models, principles, and strategies applicable to contemporary police and correctional criminal justice organizations. Includes an examination of organizational history, theory, behavior, leadership styles, networks of relationships both formal and informal, concentration of power, and politics within organizations. The policy implications of selected topics will be considered to analyze the future direction of these criminal justice organizations. Restricted to students with junior standing or higher.",320,3,CRMJ,SOCL,,,,,,,,,,
272,Crime and Delinquency,"This course will examine the nature, extent, and causes of criminal and delinquent behavior from a sociological perspective.  Trends in offending and victimization, including research on violent crime, property crime, public order crime, organized crime, and white collar crime will be covered.  The major theoretical explanations of criminal and delinquent behavior will also be explored. Prerequisite: 150 or SOCL 125 or 150. (Equivalent to SOCL 351.)",351,3,CRMJ,SOCL,,,,,,,,,,
273,Juvenile Justice,"This course is designed to give students an introduction to the field of juvenile justice. It will focus of the relationship between youth as victims and as offenders, the role of the juvenile justice system, delinquents' rights, and traditional and alternative ways of dealing with juvenile crime. It will briefly examine the social and etiological features of delinquency. (Equivalent to SOCL 364.)",364,3,CRMJ,SOCL,,,,,,,,,,
274,Interview and Report Writing,"This course is designed to introduce students to communication processes within the field of criminal justice. It identifies techniques and provides practical experiences for students in both interviewing and report writing, focusing on the development of professional oral and written communication skills. Prerequisite: 150 or SOCL 150. Restricted to students with junior standing or higher.",365,3,CRMJ,SOCL,,,,,,,,,,
275,Criminal Law and the Courts,"This course provides a basic overview of the American judicial system including types of law used in our judicial system, the actors in the courts and court procedures. Federal and state courts and the appellate process will be examined. The nature, variety and sources of criminal laws will be considered in relationship to theories of punishment and control including the creation, organization, and content of criminal law. Prerequisite: 150 or SOCL 150. ",370,3,CRMJ,SOCL,,,,,,,,,,
276,Best Practices in Criminal Justice,"This course will explore ""best practices"" used by criminal justice professionals and give students a strong foundation in offender rehabilitation and examine current knowledge in promoting offender change. The course will examine evidence based practices used in correctional settings and within the community. In addition, students will also examine successful approaches to working with offenders and victims by using a strength based perspective. Pre-requisite: 150 or SOCL 150 or junior standing.",410,3,CRMJ,SOCL,,,,,,,,,,
277,Seminar II,"This course is designed to facilitate the transition from the college classroom to the professional world or graduate school. Students will use the skills, knowledge, and lessons from their undergraduate criminal justice and sociology major courses to design and execute an original research project and disseminate the results of their research to the public via a poster presentations. In addition, students will reflect on their personal and academic time at Viterbo University. Students will then engage in reflective writings on how they will apply their Viterbo experience to their post-college professional and/or academic lives. Prerequisite: SOCL 338. Restricted to students with junior standing or higher. (Equivalent to SOCL 465.)",465,3,CRMJ,SOCL,,,,,,,,,,
278,Ethics in Criminal Justice,"This course is an examination of ethical theories and issues that confront criminal justice practitioners, including law enforcement, the courts, corrections, and professionals working in policy and research. The course will examine the standards of ethics for criminal justice professionals. It will explore the concepts of morality, ethics, values, moral/ethical frameworks and dilemmas in the field. Students will examine case studies to become aware of the dilemmas faced by practitioners. In addition, it will examine the concept of ""justice' and its meaning, and examine current and future ethical issues in the justice system. Restricted to students with junior standing or higher.",470,3,CRMJ,SOCL,,,,,,,,,,
279,Special Topics,"Courses on topics of interest to criminal justice students offered on the basis of need,  interest, or timeliness.  Prerequisite: 150. Restricted to students with junior standing or higher. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",486,3,CRMJ,SOCL,,,,,,,,,,
280,Experiential Learning: Internship,"Non-classroom experiences in the field of  criminal or juvenile justice. Placements are off- campus, and may be full- or part-time, and with  or without pay. Credit for experiences must be  sought prior to their occurance, and learning  contracts must be submitted before the end of the  first week of the semester. Police certification  training may count as internship credits for  interested students. See advisor and/or director   of internship programs for details. Senior standing required. Graded CR/NC.",487,12,CRMJ,SOCL,,,,,,,,,,
281,Independent Study,Independent reading and/or research under the supervision of a criminal justice faculty member. Refer to the academic policy section for independent study policy. Independent study contract is required. Prerequisite: 150. May be repeated for credit.,488,3,CRMJ,SOCL,,,,,,,,,,
282,Dance Appreciation,"This introductory, non-performance dance course provides the participant with an overview of dance history, style, form, and aesthetics, with the primary purpose of providing a greater understanding and appreciation of various diverse dance forms. The course may include a limited number of practical dance activities to further demonstrate various styles and forms of dance discussed, including ballet, jazz, tap, music theatre, and social dance. AE",100,3,DANC,THTR,,,,,,,,,,
283,Introduction to Dance Technques,"A course that introduces students to the styles of jazz, ballet, and tap dance, developing body coordination, strength, flexibility. AE",105,3,DANC,THTR,,,,,,,,,,
284,Fundamentals of Dance,"A course introducing students to styles of jazz, ballet, and tap dance for music theatre, theatre, and music majors and dance, theatre, and music theatre minors, beginning the development of strength, flexibility, coordination, and correct use of the body. Restricted to arts administration, music, music theatre, and theatre majors and dance, music, music theatre, and theatre minors.",110,1,DANC,THTR,,,,,,,,,,
285,Ballet I,"A course for the student interested in deepening her or his ballet experience. The course will introduce ballet vocabulary and technical principles so that the student can begin to perform more complex movement combinations. Prerequisite: 105 or 110. Restricted to arts administration, music, music theatre, and theatre majors and dance, music, music theatre, and theatre minors. May be repeated for credit. ",214,1,DANC,THTR,,,,,,,,,,
286,Modern Dance I,"The techniques and principles of modern dance styles from the early 1900s to the present will be introduced and explored. Prerequisite: 105 or 110. Restricted to arts administration, music, music theatre, and theatre majors and dance, music, music theatre, and theatre minors. May be repeated for credit.",220,1,DANC,THTR,,,,,,,,,,
287,Tap Dance I,"For the beginning to intermediate level tap dancer, this course will cover the basic tap steps of this rhythmic dance form. Prerequisite: 105 or 110. Restricted to arts administration, music, music theatre, and theatre majors and dance, music, music theatre, and theatre minors. May be repeated for credit.",230,1,DANC,THTR,,,,,,,,,,
288,Jazz Dance I,"A continuing course in this distinctly American dance form with emphasis on use of the body as a rhythmic instrument. Prerequisite: 105 or 110. Restricted to arts administration, music, music theatre, and theatre majors and dance, music, music theatre, and theatre minors. May be repeated for credit.",250,1,DANC,THTR,,,,,,,,,,
289,Musical Theatre Dance I,"The technique and style of dances required for the musical theatre stage and storytelling through dance. Dance combinations will include various musical theatre styles. For the advanced beginning and intermediate dancer. Prerequisite: 105 or 110. Restricted to arts administration, music, music theatre, and theatre majors and dance, music, music theatre, and theatre minors. May be repeated for credit.",270,1,DANC,THTR,,,,,,,,,,
290,Special Topics,"Courses on topics of interest to dance students offered on the basis of need, interest, or timeliness. Prerequisites as determined by the instructor. Restricted to students with freshman or sophomore standing. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",286,3,DANC,THTR,,,,,,,,,,
291,Experiential Learning: Internship,"Advanced non-classroom experiences in the field  of dance. Placements are off-campus, and may be full- or part-time, and with or without pay. Credit for experiences must be sought prior to occurance, and learning contracts must be submitted to the theatre faculty before the end of the first week of the semester. See the experiential learning: internship section of the catalog for more details. Graded CR/NC.",287,12,DANC,THTR,,,,,,,,,,
292,Independent Study,Independent reading and/or research under the guidance of a dance faculty member. Refer to the academic policy section for independent study policy. Independent study contract is required. Prerequisite: as determined by instructor. May be repeated for credit.,288,3,DANC,THTR,,,,,,,,,,
293,Ballet II,"Intermediate studio practice in classical ballet technique with emphasis on ballet as a performing art. Prerequisite: 214. Restricted to arts administration, music, music theatre, and theatre majors and dance, music, music theatre, and theatre minors. May be repeated for credit.",314,1,DANC,THTR,,,,,,,,,,
294,Modern Dance II,"The techniques and principles of modern dance styles from the early 1900s to the present will be explored and further developed. Prerequisite: 220. Restricted to arts administration, music, music theatre, and theatre majors and dance, music, music theatre, and theatre minors. May be repeated for credit.",320,1,DANC,THTR,,,,,,,,,,
295,Modern Dance II,"The techniques and principles of modern dance styles from the early 1900s to the present will be explored and further developed. Prerequisite: 220. Restricted to arts administration, music, music theatre, and theatre majors and dance, music, music theatre, and theatre minors. May be repeated for credit.",320,1,DANC,THTR,,,,,,,,,,
296,Tap Dance II,"A continuing course for the intermediate level tap dancer, including more complex tap movements and techniques of this rhythmic dance form. Prerequisite: 230. Restricted to music, music theatre, theatre, and arts administration majors and dance, music theatre, theatre, and music minors. May be repeated for credit.",330,1,DANC,THTR,,,,,,,,,,
297,Jazz Dance II,"Intermediate studio practice of jazz dance technique and style, including more complex exercises and combinations. Prerequisite: 250. Restricted to music, music theatre, theatre, and arts administration majors and dance, music theatre, theatre, and music minors. May be repeated for credit.",350,1,DANC,THTR,,,,,,,,,,
298,Dance Composition,"The principles and processes of making dance will be studied through practical experience and the observation and analysis of choreographic works. Prerequisite: 105 or 110 and four of the following, DANC-120 or 210; 220; 230; 250 or 350; 270 or 370; 330 or 430. Restricted to music, music theatre, theatre, and arts administration majors and dance, music theatre, theatre, and music minors. May be repeated for credit.",360,2,DANC,THTR,,,,,,,,,,
299,Musical Theatre Dance II,"A continuation of the study of the technique and style of dances required for the musical theatre stage and storytelling through dance. Dance combinations will include various musical theatre styles. Prerequisite: 270. Restricted to music, music theatre, theatre, and arts administration majors and dance, music theatre, theatre, and music minors. May be repeated for credit.",370,1,DANC,THTR,,,,,,,,,,
300,Ballet III,"Advanced studio practice in classical ballet technique. Special focus on Pointe work and preparing to begin Pointe work. Prerequisite: 314. Restricted to music, music theatre, theatre, and arts administration majors and dance, music theatre, theatre, and music minors. May be repeated for credit.",414,1,DANC,THTR,,,,,,,,,,
301,Tap Dance III,"An advanced level tap course focusing on complex movements and rhythm patterns. Prerequisite: 330. Restricted to music, music theatre, theatre, and arts administration majors and dance, music theatre, theatre, and music minors. May be repeated for credit.",430,1,DANC,THTR,,,,,,,,,,
302,Special Topics,"Courses on topics of interest to dance students offered on the basis of need, interest, or timeliness. Prerequisites as determined by the instructor. Restricted to students with junior standing or higher. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",486,3,DANC,THTR,,,,,,,,,,
303,Experiential Learning: Internship,"Advanced non-classroom experiences in the field  of dance. Placements are off-campus, and may be full- or part-time, and with or without pay. Credit for experiences must be sought prior to occurance, and learning contracts must be submitted to the theatre faculty before the end of the first week of the semester. See the experiential learning: internship section of the catalog for more details. Graded CR/NC.",487,12,DANC,THTR,,,,,,,,,,
304,Independent Study,Independent reading and/or research under the guidance of a dance faculty member. Refer to the academic policy section for independent study policy. Independent study contract is required. Prerequisite: as determined by instructor. May be repeated for credit.,488,3,DANC,THTR,,,,,,,,,,
305,Dance Repertory,"This course will explore the creation and execution of a degree performance or educational event, from creative process through execution. Students will enhance their technical, creative, collaborative, and performance skills. Events will differ during different semesters, and may include performances of dance pieces(s) at various venues in the community, fully produced dance concerts, evening length movement pieces, and outreach opportunities to the people of our neighborhood. By audition only. Restricted to BFA or BM degree students or dance minors. May be repeated for credit. ",490,3,DANC,THTR,,,,,,,,,,
306,Macroeconomics,"Students learn about the aggregate behavior of national and international economies, and how to measure aggregate levels of production, consumption, employment, and inflation. Issues discussed in the class include how countries can benefit and lose from international trade; what are the immediate, short run, and long run effects from shocks to the economy such as exogenous changes in aggregate spending, factors affecting production, or government intervention; and what are the goals of fiscal and monetary policy, and what are some of their positive and negative impacts on the economy. Prerequisite: 102 or 60 completed credits. ",101,3,ECON,BUSN,,,,,,,,,,
307,Microeconomics,"Students learn about scarcity, opportunity costs, and production possibilities; the supply and demand behavior of markets; and optimal behavior of consumers and producers under market structures perfect competition, monopoly, and monopolistic competition. Students learn about how labor markets behave, including an understanding of how labor demand and labor supply curves are derived, and how government intervention can influence employment and wages. Students learn conditions for optimality of unregulated markets, and examine roles for government intervention concerning market failures such as externalities and public and common goods.",102,3,ECON,BUSN,,,,,,,,,,
308,Special Topics,"Courses on topics of interest to business   students offered on the basis of need, interest, or timeliness.  Prerequisites as determined by instructor. Restricted to students with freshman or sophomore standing. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",286,3,ECON,BUSN,,,,,,,,,,
309,Experiential Learning: Internship,"Non-classroom experiences in the field  of business. Placements are generally off-campus, and may be full- or part-time, and with or without pay. Credit for experiences must be sought prior to occurance, and learning contracts must be submitted before the end of the first week of the semester. A maximum of 15 credits of 287/487 can be used to meet graduation requirements. See the experiential learning: internship section of this catalog for details. Restricted to students with freshman or sophomore standing. May be repeated for credit. Graded CR/NC.",287,12,ECON,BUSN,,,,,,,,,,
310,Independent Study,"Individual and independent reading, research, and writing under the guidance of a School of Business faculty member. Refer to the academic policy section for independent study policy. A written learning contract must be on file in the Office of the Registrar by the end of the first week of classes in the semester in which the course is taken. The contract must provide details of the topic, learning objectives, methods to be used, works to be completed, completion dates, grading criteria, and a prospective bibliography. The learner must get contract approval from the guiding faculty member, his or her academic advisor, and the dean of the School of Business before the contract is filed with the registrar. May be repeated for credit.",288,4,ECON,BUSN,,,,,,,,,,
311,Environmental Economics,This course will apply an economic analysis to resource use while focusing on the economics of the environment and the economics of exhaustible resources. Students will examine the economic aspects of natural resources and environmental issues.,300,3,ECON,BUSN,,,,,,,,,,
312,Latin America in a Global Economy,"The study of economic policies and principles is a combination of politics and social science. We will examine the basic economic principles including scarcity, resource allocation, supply and demand, economic models and the influence of international trade as it relates to Latin American countries. Most of the course deals with economic development; the successes, failures, and prospects in Latin American countries.",350,3,ECON,BUSN,,,,,,,,,,
313,Personal Economics: Spending and Saving,"The purpose of this course is to strenthen personal life management skills by providing students with a complete perspective on personal economics. This topical course features financial planning, budgeting, cash and credit management, housing decisions, balancing work and home life, major purchasing decisions, investments, social responsibility, tax planning, retirement planning, estate planning, community service, and related ethical and legal issues. Students with little background in finance, economics or mathematics welcome.",400,2,ECON,BUSN,,,,,,,,,,
314,Special Topics,"Courses on topics of interest to business   students offered on the basis of need, interest, or timeliness.  Prerequisites as determined by instructor. Restricted to students with junior standing or higher. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",486,3,ECON,BUSN,,,,,,,,,,
315,Experiential Learning: Internship,"Non-classroom experiences in the field  of business. Placements are generally off-campus, and may be full- or part-time, and with or without pay. Credit for experiences must be sought prior to occurance, and learning contracts must be submitted before the end of the first week of the semester. A maximum of 15 credits of 287/487 can be used to meet graduation requirements. See the experiential learning: internship section of this catalog for details. Restricted to students with junior standing or higher. May be repeated for credit. Graded CR/NC.",487,12,ECON,BUSN,,,,,,,,,,
316,Independent Study,"Individual and independent reading, research, and writing under the guidance of a School of Business faculty member. Refer to the academic policy section for independent study policy. A written learning contract must be on file in the Office of the Registrar by the end of the first week of classes in the semester in which the course is taken. The contract must provide details of the topic, learning objectives, methods to be used, works to be completed, completion dates, grading criteria, and a prospective bibliography. The learner must get contract approval from the guiding faculty member, his or her academic advisor, and the dean of the School of Business before the contract is filed with the registrar. May be repeated for credit.",488,4,ECON,BUSN,,,,,,,,,,
317,The Numbers That Move the World,"There is a complex web of public and private systems, institutions, and policies whose interactions create the landscape that enterprises, large and small, operate on. In this course, students will be introduced to the major players and features of the global economic system and use it to make sense of local behavior like house prices, executive wages, trade effects, mortgage rates, and unemployment.",510,3,ECON,MBAD,,,,,,,,,,
318,Special Topics,"A course, on a special topic in the discipline at the post-baccalaureate or master degree level, offered on the basis of need, interest, or time lines. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",546,4,ECON,MBAD,,,,,,,,,,
319,Independent Study,"This course provides independent reading and/or research, at the post-baccalaureate or master degree level, under the direction of a faculty member. Refer to the academic policy section for independent study policy. May be repeated for credit.",588,4,ECON,MBAD,,,,,,,,,,
320,Global Business Cycles and Economic Policy,"How do economic recessions and expansions start What causes recessions to deepen and expansions to accelerate What are appropriate and effective government policies to fix economic problems This course examines answers to these questions in the context of a global economy. Learners consider benefits and costs of creating a more globally integrated economy, discover how business cycles in different countries are related to another, and examine how U.S. economic fluctuations and policy responses depend on changes in the global economy, resulting in a toolkit to make predictions about changes in economic outcomes such as consumer spending, production, unemployment, and inflation.",610,3,ECON,MBAD,,,,,,,,,,
321,Quality Questioning for Rigor and Student Engagement in Learning,"This course will examine effective techniques for questioning that lead to higher levels of thinking and student engagement. Participants will gain knowledge in developing ""thick"", pre-planned questions, engaging students in generating questions, and using quality questions to facilitate rich, student-led discussions. Course foci include effective questioning techniques, identifying and developing quality questions to enrich instruction, and discussion protocols using quality questions for high levels of student engagement.",500,3,EDEL,MAED,,,,,,,,,,
322,"Standards-Based Teaching, Assessment, And Grading","This course offers participants the opportunity to learn how to use standards as a basis for lesson and assessment design, in order to foster maximum student engagement and achievement. Participants will gain knowledge and practice in aligning standards and assessment and implementing standards-based teaching, assessment, and grading.",501,3,EDEL,MAED,,,,,,,,,,
323,Implementing Positive Behavior Supports (pbis) Within the Mtss/Rtl Framework,"This course reviews the components of the Positive Behavioral Interventions and Supports (PBIS) framework, as well as the steps necessary for implementation of PBIS. This course specifically focuses on creating and sustaining classroom and individual systems of support to improve classroom behavior. Participants will learn to use data-based decision-making to select and implement strategies for all three tiers of PBIS and how these strategies fit within a Multi-Tiered System of Support (MtSS).",502,3,EDEL,MAED,,,,,,,,,,
324,Formative Assessments: Using Data for Instructional Planning and Intervention,"This course familiarizes educators with the MtSS process for redesigning systems to meet the needs of struggling students through a pyramid of interventions and provides a practical MtSS model for teachers, administrators, and parents with clear examples of strategies for the implementation and monitoring of the MtSS system components within a school setting. This course will also define formative assessment and discuss the benefits of using a variety of formative assessments to increase student learning. Learners will reflect on current assessment practices and will gain knowledge in identifying and creating formative assessments and incorporating formative assessment into instructional activities. Participants will gain knowledge in how to facilitate the incorporation of Tier I and II interventions in the classroom. ",503,3,EDEL,MAED,,,,,,,,,,
325,Active Engagement and Brain-Compatible Learning,"This course will examine the best practices utilizing the Differentiated Model for classroom instruction. The heterogeneous structure of classrooms requires teachers to design and implement lessons that are differentiated in ways that honor the diverse learning needs of each classroom's student population. In this course, we will focus on the prominent work of Judy Willis, David Sousa and James Zull, leading researchers in the area of Brain Based Research, whose framework for implementing research-based instructional strategies in the classroom is driving instructional practices across the nation. This course is designed to be highly interactive. Each participant will integrate learned strategies into a lesson already being taught in their own classrooms. Participants will revisit current lesson plans or units to see how new research/strategies can enhance student achievement. Participants will share how these new strategies units of study as well as their personal plans for implementation in the classroom. ",504,3,EDEL,MAED,,,,,,,,,,
326,ELL Strategies for Classroom Teachers,"This course will examine the best practice for core classroom instruction with second language students. The heterogeneous structure of classrooms requires teachers to design and implement lessons that are differentiated in ways that honor the diverse learning needs and language levels of each classroom's ELL population. In this course, we will focus on the prominent work of Kate Kinsella, Stephen Krashen, and Bob Marzano, as well as the Sheltered Instruction Observation Protocol. Leading researchers in the area of second language acquisition, whose framework for implementing research based instructional strategies in the classroom is driving instructional practices across the nation.",505,3,EDEL,MAED,,,,,,,,,,
327,"Managing Literacy Instruction: Integration of Best Practices, Common Core, MtSS, and Gradual Release of Responsibility","This course provides an overview of the key areas of comprehensive literacy instruction and how to manage the components of the Core Curriculum, MtSS (Tiers I and II), and the gradual release of responsibility model within the literacy block. This course addresses best practices based on current research about literacy instruction. Engaging strategies for vocabulary, fluency, and comprehension instruction will be presented and practiced. Effective questioning and student-led discussions will be emphasized in this course and strategies for formative assessment and using data for instructional planning will be addressed. Participants will learn strategies to encourage and develop strategic, life-long readers.",506,3,EDEL,MAED,,,,,,,,,,
328,Cultural and Linguistic Diversity,"This course will investigate the history related to cultural diversity and the relationships between language and culture. Interactions among language, social institutions, and cultural beliefs will also be addressed in this course. Applications of teaching English as a second language will be emphasized. Current state and federal policy legislation and reporting requirements will also be a focus of this course.",551,3,EDEL,MAED,,,,,,,,,,
329,"Linguistics, the Structure of Language, And the Dual Language Classroom","This course will provide participants with knowledge of linguistics, as it is related to the ELL/Dual Language setting. This course will also focus on the areas of phonology and phonological awareness, sound-symbol association, syllable types, morphology, syntax and semantics. Participants will gain understanding of typical and atypical reading development and differentiation of reading instruction. Emphasis will be placed on cognitive academic language development, oral and written language development, including second language development, and the variations related to cultural and linguistic diversity.",552,3,EDEL,MAED,,,,,,,,,,
330,Internet Course,Internet-based course. May be repeated for credit. This course does not meet the criteria for the Master of Arts in Education degree requirements.,510,3,EDPD,MAED,,,,,,,,,,
331,Special Topics,"A course, on a special topic in the discipline at the post-baccalaureate or master degree level, offered on the basis of need, interest, or time lines. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",546,8,EDPD,MAED,,,,,,,,,,
332,Special Topics,"A course, on a special topic in the discipline at the post-baccalaureate or master degree level, offered on the basis of need, interest, or time lines. May be repeated for credit. This course does not meet the criteria for the Master of Arts in Education degree requirements.",547,8,EDPD,MAED,,,,,,,,,,
333,Special Topics,"A course, on a special topic in the discipline at the post-baccalaureate or master degree level, offered on the basis of need, interest, or time lines. May be repeated for credit. This course does not meet the criteria for the Master of Arts in Education degree requirements.",548,8,EDPD,MAED,,,,,,,,,,
334,Special Topics,"A course, on a special topic in the discipline at the post-baccalaureate or master degree level, offered on the basis of need, interest, or time lines. May be repeated for credit. This course does not meet the criteria for the Master of Arts in Education degree requirements.",549,8,EDPD,MAED,,,,,,,,,,
335,Introduction to Education,"Orientation to the field of education; study of historical, philosophical and social foundations of education; study of legal, political, economic and governmental basis of education; overview of innovative theories and practices; the organization of U.S. schools as elementary, middle level and secondary. Students begin portfolio development process.",150,2,EDUC,EDUC,,,,,,,,,,
336,Foundations of Special Education,"This introductory course examines special education practices in contemporary schools and provides and introduction and overview of the field of special education. The perspective for the course content includes a belief that the field of Special Education is often in transition by virtue of philosophical, legislative and programmatic changes. This course includes a broad overview of the expectations associated with the identification, characteristics, and education of students with disabilities. The content of the course is designed to assist the development of professional special and general educators who are developing skills in planning, implementing, and assessing individualized programs for children and adolescents with disabilities. Students enrolled in the class will develop skills and understanding of the laws pertaining to students with disabilities, write individualized instructional plans, learn about inclusion, collaboration and school-based team membership, and become familiar with the adaptation and modifications of instruction. Students will also develop their personal philosophy of special education and a profile of their role as a team member in the special education process. ",203,3,EDUC,EDUC,,,,,,,,,,
337,Applied Argumentative Writing Sciences,"Continuing from 100 level written communication courses, this course examines the formal elements of argument: claims, warrants, support, induction, deduction, logical fallacies, and classical argumentative structures. Through writing, this course allows students to explore relevant issues in their field of interest including but not limited to, education, mathematics, and natural and social sciences. Prerequisite: C or higher in 104, 105 or 195. WCII, IL",207,3,EDUC,EDUC,,,,,,,,,,
338,Educational Psychology,"Theories of learning and development and their application; critical thinking, motivation; classroom management, measurement and evaluation. Twenty hours of field experience required. Prerequisite: 150.",215,3,EDUC,EDUC,,,,,,,,,,
339,Technology-Enhanced Instruction Pre-K-12,"Evidence-based, effective instruction of the reading and writing processes that support successful teaching of literacy in the elementary/middle school. Best practices, Common Core State Standards, curricula, appropriate materials and strategies to meet the needs of diverse learners will be explored and applied to a Teacher Work Sample (TWS) (Unit Plan). When designing the TWS, students will develop proficiency in connecting goals, state standards, objectives, and assessment. Differentiated Instruction (DI) and Response to Intervention (RtI) will be incorporated into lesson designs. Research based literacy trends and issues will be examined while participating in authentic classroom literacy practices. Fifteen hours of field experience required. Prerequisites: 215, 255 or concurrent.",216,3,EDUC,EDUC,,,,,,,,,,
340,Health and Physical Activity in the 1-9 Classroom,This course prepares the classroom teacher to implement standards based health education and physical activity for grades 1-9. Concrete guidelines for teaching age-appropriate content in health and physical activity will be the focus of this course. Students will leave this course prepared to work with school and community members to help pupils remain healthy and active throughout their lives. The unique connection of healthy mind/healthy body and its connection to success in all content areas will be a central focus of the course. Prerequisite: 215.,226,2,EDUC,EDUC,,,,,,,,,,
341,Creative Arts for Young Children,"This course is designed to develop an understanding of the value and function of creative activity in a childs learning and to plan, implement and evaluate developmentally appropriate integrated experiences in creative dramatics, art, music and movement for children, infancy through kindergarten. Prerequisite: 215.",237,3,EDUC,EDUC,,,,,,,,,,
342,Family and Community Partnerships and Leadership,"This course focuses on the teacher as a leader in building partnerships with families, colleagues, and school and the community at large to promote support of, and involvement in education. Topics include family systems theory, community collaboration approaches to meet the diverse needs of children and families, cultural and family diversity, parent-teacher conferences, and effective communication. The role of the family in classroom management for early childhood and elementary programs will also be addressed. As a result of this course, students will have a clear understanding of the critical importance of school-community relations, and the role of parents, teachers, administration and community in building successful schools.. Prerequisite: 215.",243,2,EDUC,EDUC,,,,,,,,,,
343,"Curriculum, Instruction, and Assessment","Emphasis on introduction to best educational practices related to curriculum, instruction, and assessment. This course includes lesson planning, lesson presentations, and less reflection and analysis. Emphasis on writing, speaking and listening. Prerequisite: 150, 215 or concurrent; 30 completed credits. OC",255,3,EDUC,EDUC,,,,,,,,,,
344,"Curriculum and Assessment, Birth to Age 6","A study of developmentally appropriate curriculum and assessment practices (theoretical and published), for infants, toddlers, and preschoolers - including children with special abilities, disabilities or developmental differences. Emphasis on healthy social and emotional development as foundational to learning; creating supportive environments and experiences that increase each childs learning through play, exploration, and utilization of evidence-based teaching strategies; and developing parent/family partnerships. A field experience of 20 hours with young children is included. Prerequisite: 215.",271,4,EDUC,EDUC,,,,,,,,,,
345,Child and Adolescent Literature,"Survey of many genres of literature; principles of selection and evaluation; the rich role of literature in today's classroom; planning a literature-based reading program; literacy analysis of social issues, culture and diversity that can be taught using a wide assortment of compelling literature to create deeper understandings of best practices to prepare children for today's world. LA",280,3,EDUC,EDUC,,,,,,,,,,
346,Special Topics,"Courses on topics of interest to education students offered on the basis of need, interest, or timeliness. Prerequisites as determined by instructor. Restricted to students with freshman or sophomore standing. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",286,3,EDUC,EDUC,,,,,,,,,,
347,Independent Study,Independent reading and-or research under the guidance of an education department faculty member. Refer to the academic policy section for independent study policy. May be repeated for credit. Independent study contract is required.,288,3,EDUC,EDUC,,,,,,,,,,
348,Best Practices for Creating a Positive Classroom Climate,"This course is designed to provide teacher candidates with a foundational knowledge in creating and maintaining a positive classroom climate, as well as utilizing behavioral intervention strategies for students with mild/moderate behavioral challenges. The course content will: (a) provide knowledge of behavioral technologies to support classroom teaching with diverse groups of individual students, including those with special needs; (b) detail research-based prevention and intervention strategies, as required by RtI; (c) provide an overview of behavioral assessments; and (d) present strategies that promote attitudes for supporting and fostering the acceptance of all students. Students in this course will complete  10 field experience hours. Prerequisite: 203.",290,3,EDUC,EDUC,,,,,,,,,,
349,The Inclusive Classroom,"A study of developmentally appropriate curriculum and assessment practices (theoretical and published) to support the three main objectives of this course: 1) Impacts on children's learning and development (poverty, cultural, dual language learners, abuse, neglect, disabilities, abilities, etc. 2) Understanding the laws - ADA, 1973 405, FERPA, IDEA, etc. Understanding of structures in licensing, the legal aspects of what is happening and the federal laws. 3) Frameworks, structures and teaching strategies will be presented and modeled so that classroom teachers can meet the needs of all learners especially those with special abilities, disabilities and/or developmental differences. Prerequisites: 215, 255, admission to the teacher education program. ",306,3,EDUC,EDUC,,,,,,,,,,
350,Emergent Literacy,"The focus of this course is the literacy development of the pre-K-3 child. The course covers the developmental process of literacy acquisition and the use of appropriate methods, models, and strategies for encouraging literacy growth. Early literacy concepts of phonemic awareness, word identification, phonics, vocabulary, fluency, comprehension cultural and linguistic diversity, and language differences and delays are examined. The role of parents, community, and assessment tools will be explored. Additional emphasis will be placed on the effects of poverty, culture, diversity, nutrition, language development and hearing issues. Prerequisite: 255.",308,2,EDUC,EDUC,,,,,,,,,,
351,"Curriculum and Methods for Social Studies, 1-9","Objectives, content, study, and experience in methods, use of media, including computer applications for social studies teachers in the elementary and middle school; focus on Wisconsin's Model Academic Standards. Prerequisites: 215, 255, SOCL-320, one history course, and admission to the teacher education program.",311,2,EDUC,EDUC,,,,,,,,,,
352,Keyboardng Teaching Methods,An emphasis on teaching strategies for keyboarding instruction and the motivation of learning and skill building. Includes the utilization of keyboarding software packages. Emphasis on curriculum development and implementation including Wisconsin's Model Academic Standards. Prerequisite: 215.,312,1,EDUC,EDUC,,,,,,,,,,
